Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Other,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Other,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown
20201108,AK,19826,5655,618,,741,4293,668,7851,1051,1085,5715,1183,8706,9937,84,31,3,,8,27,7,8,3,1,4,1,71,12,,,,,,,,,,,,,
20201108,AL,203687,61958,39381,,657,,,101691,,18636,83055,8540,81856,113291,3084,1619,1057,,9,,,399,,83,316,79,2418,587,,,,,,,,,,,,,
20201108,AR,121866,73485,23642,,1218,321,2437,20763,885,6824,13054,18158,103707,1,2085,1413,358,,20,5,47,242,9,88,145,97,1988,0,,,,,,,,,,,,,
20201108,AS,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
20201108,AZ,259264,69599,7930,78638,2863,15364,,84870,,9148,75722,78638,104904,75722,6164,2622,188,1827,69,659,,799,,102,697,1827,3640,697,,,,,,,,,,,,,
20201108,CA,956957,120812,28446,411702,37716,1948,3631,352702,7890,65320,279492,411702,265763,279492,17939,5347,1320,8610,2089,58,84,431,145,82,204,8610,9125,204,,,,,,,,,,,,,
20201108,CO,130984,51044,4387,45516,2095,707,458,26785,2056,1165,23564,45516,61912,23556,2394,1494,135,552,66,16,6,123,56,13,54,552,1786,56,,,,,,,,,,,,,
20201108,CT,78125,25877,8718,15125,1042,94,,27269,738,1421,25110,15125,37890,25110,4671,3410,682,419,51,2,,107,39,23,45,419,4207,45,,,,,,,,,,,,,
20201108,DC,18001,4173,8779,,295,40,48,4666,,4510,156,4498,11954,1549,654,67,488,84,8,,,7,,0,7,84,563,7,,,,,,,,,,,,,
20201108,DE,26603,10786,6794,5630,394,,,2999,,1233,1766,5630,19207,1766,718,469,184,50,2,,,13,,12,1,50,667,1,,,,,,,,,,,,,
20201108,FL,843897,239791,117141,246885,,,,240080,,55902,184178,246885,369711,227301,17333,8523,3076,4362,,,,1372,,706,666,4362,11509,1462,,,,,,,,,,,,,
20201108,GA,373078,134087,102587,47530,6599,194,344,81737,,9310,72427,47530,216774,108774,8648,4220,3253,485,145,10,6,529,,16,513,485,7631,532,,,,,,,,,,,,,
