date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,lastModified,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash,date_modified
20201113,56,10588169,133262737,12010.0,68516.0,511397.0,13132.0,26997.0,3769.0,2967.0,4095146.0,2020-11-13T24:00:00Z,235629.0,511397.0,164039849,2020-11-13T24:00:00Z,0,0,1301,3464,1212755,170333,1683680,cc4616ee0c98a8684efedbed10805664f0d865f1,2020-11-13
20201112,56,10417836,132049982,11385.0,67096.0,507933.0,12796.0,26803.0,3622.0,2954.0,4051256.0,2020-11-12T24:00:00Z,234328.0,507933.0,162356169,2020-11-12T24:00:00Z,0,0,1104,3918,1009425,150526,1490426,e2701845e30d0152936845c12a4297cd916b0582,2020-11-12
20201111,56,10267310,131040557,11287.0,65373.0,504015.0,12518.0,26584.0,3367.0,2947.0,3997204.0,2020-11-11T24:00:00Z,233224.0,504015.0,160865743,2020-11-11T24:00:00Z,0,0,1565,3323,992347,144499,1381858,e55a31c7d307ec4920373ddce73c6337367b20ca,2020-11-11
20201110,56,10122811,130048210,8579.0,61964.0,500692.0,11952.0,26335.0,3205.0,2922.0,3961873.0,2020-11-10T24:00:00Z,231659.0,500692.0,159483885,2020-11-10T24:00:00Z,0,0,1347,3946,938416,130989,1237365,547d47494acfdd4002a96aa3a8f002454bbddd4a,2020-11-10
20201109,56,9991822,129109794,23458.0,59275.0,496746.0,11533.0,26087.0,3110.0,2907.0,3928845.0,2020-11-09T24:00:00Z,230312.0,496746.0,158246520,2020-11-09T24:00:00Z,0,0,580,2301,1224702,118708,1518878,5036a05337f039204f1fb11d603cdb964e8c60c0,2020-11-09
20201108,56,9873114,127885092,23353.0,56799.0,494445.0,11120.0,25819.0,2977.0,2900.0,3881558.0,2020-11-08T24:00:00Z,229732.0,494445.0,156727642,2020-11-08T24:00:00Z,0,0,487,1602,924896,110838,1259450,a1f728de08a05ef7380563b3faff2bff8a698392,2020-11-08
20201107,56,9762276,126960196,23295.0,55840.0,492843.0,11082.0,25721.0,2947.0,2898.0,3851509.0,2020-11-07T24:00:00Z,229245.0,492843.0,155468192,2020-11-07T24:00:00Z,0,0,1104,2374,979681,129191,1405858,89d80fe408dc99c12a744c27c7045a8e86835c50,2020-11-07
20201106,56,9633085,125980515,11804.0,54824.0,490469.0,11085.0,25498.0,2850.0,2885.0,3810791.0,2020-11-06T24:00:00Z,228141.0,490469.0,154062334,2020-11-06T24:00:00Z,0,0,1186,3054,1142643,125252,1562024,c83d1e0149c15ab87c2918edf01a2ab7ee454c6f,2020-11-06
20201105,56,9507833,124837872,11233.0,53322.0,487415.0,10918.0,25276.0,2877.0,2872.0,3781751.0,2020-11-05T24:00:00Z,226955.0,487415.0,152500310,2020-11-05T24:00:00Z,0,0,1124,3735,1180777,116153,1563726,10f7a3caff2f787a592952109970daceef70a9fe,2020-11-05
20201104,56,9391680,123657095,10117.0,52049.0,483680.0,10761.0,25041.0,2832.0,2853.0,3743527.0,2020-11-04T24:00:00Z,225831.0,483680.0,150936584,2020-11-04T24:00:00Z,0,0,1116,2802,862718,103067,1207099,6b9e1b9e4ca56b5306fa9ad16fe31adc33f69721,2020-11-04
20201103,56,9288613,122794377,8003.0,50340.0,480878.0,10406.0,24796.0,2733.0,2833.0,3705130.0,2020-11-03T24:00:00Z,224715.0,480878.0,149729485,2020-11-03T24:00:00Z,0,0,1529,3148,839957,86081,1125798,ed31b4c74eeb045db87bbe16177298b06ebdb1e1,2020-11-03
