"date_modified","positive","hospitalizedCumulative","death","recovered"
"2020-11-17",11209335,524678.0,239835.0,4294743.0
"2020-11-16",11052613,520763.0,238280.0,4245304.0
"2020-11-15",10903745,517615.0,237643.0,4185979.0
"2020-11-14",10759311,515739.0,236966.0,4149020.0
"2020-11-13",10595771,512274.0,235654.0,4095749.0
"2020-11-12",10423665,508581.0,234379.0,4051734.0
"2020-11-11",10271662,504909.0,233238.0,3997583.0
"2020-11-10",10126861,501486.0,231695.0,3962260.0
"2020-11-09",9995679,497375.0,230335.0,3929168.0
"2020-11-08",9876247,495005.0,229746.0,3881780.0
"2020-11-07",9765966,493499.0,229261.0,3851870.0
"2020-11-06",9636751,491208.0,228157.0,3811255.0
"2020-11-05",9510998,488066.0,226989.0,3782034.0
"2020-11-04",9394557,484653.0,225858.0,3743948.0
"2020-11-03",9291253,481516.0,224732.0,3705387.0
"2020-11-02",9204591,478289.0,223217.0,3675184.0
"2020-11-01",9122544,476771.0,222718.0,3634031.0
"2020-10-31",9048695,475626.0,222330.0,3612705.0
"2020-10-30",8958108,473597.0,221379.0,3578610.0
"2020-10-29",8860875,471173.0,220427.0,3554575.0
"2020-10-28",8772147,468849.0,219397.0,3518357.0
"2020-10-27",8693399,466378.0,218353.0,3487859.0
"2020-10-26",8621317,464033.0,217433.0,3460578.0
"2020-10-25",8558791,462174.0,217031.0,3423071.0
"2020-10-24",8493898,461068.0,216657.0,3406861.0
"2020-10-23",8410612,459317.0,215775.0,3375642.0
"2020-10-22",8328280,444325.0,214852.0,3353328.0
"2020-10-21",8255438,441698.0,213716.0,3323587.0
"2020-10-20",8194485,439493.0,212694.0,3295651.0
"2020-10-19",8133938,437262.0,211856.0,3272759.0
"2020-10-18",8076828,435555.0,211395.0,3234273.0
"2020-10-17",8028544,434755.0,210998.0,3220887.0
"2020-10-16",7971214,433202.0,210236.0,3197748.0
"2020-10-15",7902966,431341.0,209345.0,3177793.0
"2020-10-14",7839574,429332.0,208408.0,3156039.0
"2020-10-13",7783457,426809.0,207592.0,3124815.0
"2020-10-12",7734864,424694.0,206892.0,3106914.0
"2020-10-11",7692221,423471.0,206605.0,3075190.0
"2020-10-10",7645952,422482.0,206140.0,3063315.0
"2020-10-09",7588537,420973.0,205474.0,3039415.0
"2020-10-08",7531735,419212.0,204587.0,3021560.0
"2020-10-07",7476527,417110.0,203600.0,3000203.0
"2020-10-06",7425937,414845.0,202690.0,2952590.0
"2020-10-05",7387020,415450.0,202058.0,2935276.0
"2020-10-04",7349264,413909.0,201717.0,2911875.0
"2020-10-03",7311276,413267.0,201355.0,2897538.0
"2020-10-02",7260341,412161.0,200622.0,2873518.0
"2020-10-01",7211084,410760.0,199783.0,2860930.0
"2020-09-30",7165479,408994.0,198935.0,2840884.0
"2020-09-29",7121132,407412.0,197873.0,2813479.0
"2020-09-28",7084691,405662.0,197133.0,2794757.0
"2020-09-27",7048808,404404.0,196868.0,2766411.0
"2020-09-26",7013821,403685.0,196566.0,2750670.0
"2020-09-25",6966418,402516.0,195703.0,2727550.0
"2020-09-24",6911229,401164.0,194859.0,2710372.0
"2020-09-23",6867883,399593.0,193930.0,2672440.0
"2020-09-22",6829263,398152.0,192783.0,2647053.0
"2020-09-21",6779788,396674.0,191917.0,2616095.0
"2020-09-20",6740649,395514.0,191629.0,2589326.0
"2020-09-19",6705146,395007.0,191306.0,2577573.0
"2020-09-18",6660241,393942.0,190567.0,2558025.0
"2020-09-17",6612990,392511.0,189669.0,2540619.0
"2020-09-16",6569701,390939.0,188798.0,2525804.0
"2020-09-15",6529591,389417.0,187614.0,2495304.0
"2020-09-14",6494687,387911.0,186570.0,2478027.0
"2020-09-13",6461066,386959.0,186163.0,2450201.0
"2020-09-12",6426755,386389.0,185774.0,2439040.0
"2020-09-11",6384889,385312.0,184963.0,2418056.0
"2020-09-10",6340206,383760.0,183953.0,2403718.0
"2020-09-09",6302902,382223.0,182793.0,2387715.0
"2020-09-08",6271732,380157.0,181691.0,2359227.0
"2020-09-07",6249595,379180.0,181335.0,2333674.0
"2020-09-06",6221452,378690.0,181109.0,2316098.0
"2020-09-05",6188531,378191.0,180663.0,2302271.0
"2020-09-04",6143787,376914.0,179747.0,2283601.0
"2020-09-03",6092279,375676.0,178750.0,2267079.0
"2020-09-02",6047663,374156.0,177674.0,2231877.0
"2020-09-01",6017446,372505.0,176651.0,2202821.0
"2020-08-31",5975020,370647.0,175627.0,2184879.0
"2020-08-30",5943747,369832.0,175247.0,2154069.0
"2020-08-29",5904462,369182.0,174773.0,2140784.0
"2020-08-28",5860495,367859.0,173767.0,2118614.0
"2020-08-27",5814370,366272.0,172741.0,2101605.0
"2020-08-26",5770456,364592.0,171617.0,2084763.0
"2020-08-25",5726828,362743.0,170310.0,2053966.0
"2020-08-24",5690240,360695.0,169169.0,2020921.0
"2020-08-23",5655990,359640.0,168817.0,1997882.0
"2020-08-22",5618666,358888.0,168247.0,1985652.0
"2020-08-21",5572943,357333.0,167219.0,1965255.0
"2020-08-20",5526748,355514.0,166111.0,1947035.0
"2020-08-19",5483025,353487.0,164975.0,1925079.0
"2020-08-18",5438142,351498.0,163552.0,1889387.0
"2020-08-17",5397650,349190.0,162355.0,1865718.0
"2020-08-16",5360239,347913.0,161937.0,1833221.0
"2020-08-15",5317916,347262.0,161323.0,1818755.0
"2020-08-14",5262107,345243.0,160105.0,1796544.0
"2020-08-13",5205014,343029.0,158887.0,1774898.0
"2020-08-12",5153393,340319.0,157722.0,1755379.0
"2020-08-11",5097498,337322.0,156204.0,1715173.0
"2020-08-10",5042070,334557.0,154885.0,1670889.0
"2020-08-09",5000327,332896.0,154448.0,1656992.0
"2020-08-08",4950174,332049.0,153834.0,1643250.0
"2020-08-07",4897090,330617.0,152752.0,1624086.0
"2020-08-06",4836252,322610.0,151420.0,1598765.0
"2020-08-05",4782450,319915.0,150171.0,1578016.0
"2020-08-04",4729986,317647.0,148812.0,1529226.0
"2020-08-03",4678172,313126.0,147574.0,1513597.0
"2020-08-02",4628824,311403.0,147038.0,1468780.0
"2020-08-01",4582313,310600.0,146546.0,1462057.0
"2020-07-31",4522066,308286.0,145354.0,1438309.0
"2020-07-30",4454537,305647.0,144041.0,1414187.0
